,Simplified,Pinyin,English,Level,Part of Speech,No.
3858,带领,dàilǐng,to lead; to guide,6,动,260.0
3859,单纯,dānchún,simple; pure,6,形,261.0
3860,单调,dāndiào,monotonous; dull,6,形,262.0
3861,耽误,dānwu,to delay; to waste time,6,动,263.0
3862,担忧,dānyōu,to worry; to be anxious,6,动,264.0
3863,蛋白质,dànbáizhì,protein,6,名,265.0
3864,诞生,dànshēng,to be born; to emerge,6,动,266.0
3865,当场,dāngchǎng,on the spot; at the scene,6,副,267.0
3866,当初,dāngchū,originally; at that time,6,名,268.0
3867,当代,dāngdài,contemporary; the present age,6,名,269.0
3868,当今,dāngjīn,now; at present,6,名,270.0
3869,当面,dāngmiàn,face to face; in person,6,副,271.0
3870,当下,dāngxià,at the present moment; right away; immediately; at once,6,名、副,272.0
3871,当选,dāngxuǎn,to be elected,6,动,273.0
3872,档案,dàng’àn,file; record,6,名,274.0
3873,当天,dàngtiān,that very day,6,名,275.0
3874,岛,dǎo,island,6,名,276.0
3875,倒闭,dǎobì,to go bankrupt,6,动,277.0
3876,倒车,dǎochē,to reverse; to back up,6,动,278.0
3877,导师,dǎoshī,supervisor; mentor,6,名,279.0
3878,道德,dàodé,morality; ethics; moral,6,名、形,280.0
3879,倒是,dàoshì,contrary to expectation; but,6,副,281.0
3880,得了,déle,to finish; used after 动s to express possibility,6,动、助,282.0
3881,得以,déyǐ,to be able to; so that,6,动,283.0
3882,得知,dézhī,to learn of; to hear about,6,动,284.0
3883,灯笼,dēnglong,lantern,6,名,285.0
3884,等级,děngjí,grade; rank,6,名,286.0
3885,滴,dī,to drip; measure word,6,动、量,287.0
3886,低碳,dītàn,low-carbon,6,形,288.0
3887,抵达,dǐdá,to arrive; to reach,6,动,289.0
3888,抵抗,dǐkàng,to resist,6,动,290.0
3889,地道,dìdao,authentic; genuine,6,形,291.0
3890,地方,dìfāng,place; location,6,名,292.0
3891,地形,dìxíng,terrain; landform,6,名,293.0
3892,地域,dìyù,region; area,6,名,294.0
3893,地质,dìzhì,geology,6,名,295.0
3894,点击,diǎnjī,to click,6,动,296.0
3895,典礼,diǎnlǐ,ceremony,6,名,297.0
3896,点燃,diǎnrán,to ignite,6,动,298.0
3897,典型,diǎnxíng,model; typical; representative,6,名、形,299.0
3898,电饭锅,diànfànguō,rice cooker,6,名,300.0
3899,电力,diànlì,power; electricity,6,名,301.0
3900,店铺,diànpù,shop; store,6,名,302.0
3901,电源,diànyuán,power source; outlet,6,名,303.0
3902,吊,diào,to hang; to suspend,6,动,304.0
3903,调动,diàodòng,to transfer; to mobilize,6,动,305.0
3904,钓鱼,diàoyú,to fish,6,动,306.0
3905,跌,diē,to fall,6,动,307.0
3906,顶,dǐng,top; to carry on the head; measure word for hats,6,名、动、量,308.0
3907,订单,dìngdān,order form; purchase order,6,名,309.0
3908,订婚,dìnghūn,to get engaged; to be betrothed,6,动,310.0
3909,定价,dìngjià,to set a price; price,6,动、名,311.0
3910,定时,dìngshí,to set a time; timing,6,动、名,312.0
3911,定位,dìngwèi,to position; to locate; position,6,动、名,313.0
3912,定义,dìngyì,definition; to define,6,名、动,314.0
3913,定制,dìngzhì,to customize,6,动,315.0
3914,栋,dòng,measure word for buildings,6,量,316.0
3915,动机,dòngjī,motive; motivation,6,名,317.0
3916,动力,dònglì,power; driving force,6,名,318.0
3917,动漫,dòngmàn,animation; anime,6,名,319.0
3918,动态,dòngtài,dynamic; trend; dynamic,6,名、形,320.0
3919,动听,dòngtīng,pleasant to listen to,6,形,321.0
3920,逗,dòu,to tease; funny,6,动、形,322.0
3921,斗争,dòuzhēng,to struggle; struggle; fight,6,动、名,323.0
3922,都市,dūshì,city,6,名,324.0
3923,毒,dú,poison; toxin; to poison; poisonous,6,名、动、形,325.0
3924,渡,dù,to cross a river,6,动,326.0
3925,端,duān,to hold; to carry,6,动,327.0
3926,短缺,duǎnquē,shortage; to be short of,6,动,328.0
3927,对称,duìchèn,symmetrical,6,形,329.0
3928,对接,duìjiē,to dock; to link up,6,动,330.0
3929,对抗,duìkàng,to confront; to oppose,6,动,331.0
3930,对立,duìlì,to oppose; to be in opposition,6,动,332.0
3931,对应,duìyìng,to correspond; corresponding,6,动、形,333.0
3932,蹲,dūn,to squat,6,动,334.0
3933,顿时,dùnshí,suddenly; immediately,6,副,335.0
3934,多才多艺,duōcái-duōyì,,6,versatile; gifted in many ways,336.0
3935,多亏,duōkuī,thanks to; fortunately,6,动,337.0
3936,多媒体,duōméitǐ,multimedia,6,名,338.0
3937,多余,duōyú,to be more than needed; superfluous; unnecessary,6,动、形,339.0
3938,多元,duōyuán,diverse; pluralistic,6,形,340.0
3939,夺,duó,to seize; to take,6,动,341.0
3940,夺取,duóqǔ,to capture; to take by force,6,动,342.0
3941,躲避,duǒbì,to avoid; to hide,6,动,343.0
3942,恶心,ěxin,nauseating; disgusting; to feel nauseous,6,形、动,344.0
3943,恶劣,èliè,bad; vile,6,形,345.0
3944,儿科,érkē,pediatrics,6,名,346.0
3945,耳环,ěrhuán,earring,6,名,347.0
3946,二氧化碳,èryǎnghuàtàn,carbon dioxide,6,名,348.0
3947,发病,fābìng,to fall ill,6,动,349.0
3948,发愁,fāchóu,to worry; to feel anxious,6,动,350.0
3949,发电,fādiàn,to generate electricity,6,动,351.0
3950,发动,fādòng,to start; to launch,6,动,352.0
3951,发放,fāfàng,to distribute; to issue,6,动,353.0
3952,发光,fāguāng,to glow; to emit light,6,动,354.0
3953,发票,fāpiào,invoice; receipt,6,名,355.0
3954,发行,fāxíng,to publish; to issue,6,动,356.0
3955,发炎,fāyán,to become inflamed,6,动,357.0
3956,发育,fāyù,to grow; to develop,6,动,358.0
3957,法定,fǎdìng,legal; statutory,6,形,359.0
3958,法官,fǎguān,judge,6,名,360.0
3959,法规,fǎguī,laws; regulations,6,名,361.0
3960,番,fān,measure word for actions; occurrences,6,量,362.0
3961,繁忙,fánmáng,busy,6,形,363.0
3962,凡是,fánshì,all; every,6,副,364.0
3963,繁殖,fánzhí,to breed; to reproduce,6,动,365.0
3964,反馈,fǎnkuì,to give feedback,6,动,366.0
3965,反思,fǎnsī,to reflect; to think back,6,动,367.0
3966,犯,fàn,to commit a crime; to violate,6,动,368.0
3967,方方面面,fāngfāngmiànmiàn,all aspects; every side,6,名,369.0
3968,方位,fāngwèi,direction; position,6,名,370.0
3969,方言,fāngyán,dialect,6,名,371.0
3970,妨碍,fáng’ài,to hinder; to obstruct,6,动,372.0
3971,房价,fángjià,housing price,6,名,373.0
3972,防治,fángzhì,to prevent; to control,6,动,374.0
3973,访谈,fǎngtán,to interview,6,动,375.0
3974,放大,fàngdà,to enlarge; to magnify,6,动,376.0
3975,放飞,fàngfēi,to fly freely,6,动,377.0
3976,飞速,fēisù,at lightning speed; rapidly,6,副,378.0
3977,肥,féi,fat; to become fat; fertilizer,6,形、动、名,379.0
3978,肥胖,féipàng,obese; fat,6,形,380.0
3979,肥沃,féiwò,fertile,6,形,381.0
3980,肺,fèi,lung,6,名,382.0
3981,肺炎,fèiyán,pneumonia,6,名,383.0
3982,分工,fēngōng,division of labor,6,动,384.0
3983,分级,fēnjí,to classify; to grade,6,动,385.0
3984,分期,fēnqī,to pay in installments,6,动,386.0
3985,分散,fēnsàn,dispersed; to scatter,6,形、动,387.0
3986,氛围,fēnwéi,atmosphere; ambiance,6,名,388.0
3987,粉,fěn,powder; pink,6,名、形,389.0
3988,愤怒,fènnù,angry,6,形,390.0
3989,封闭,fēngbì,to seal; to close,6,动,391.0
3990,风光,fēngguāng,scenery; view,6,名,392.0
3991,风力,fēnglì,wind power; wind force,6,名,393.0
3992,丰收,fēngshōu,bountiful harvest,6,动,394.0
3993,风雨,fēngyǔ,wind and rain; hardships,6,名,395.0
3994,奉献,fèngxiàn,to devote; to dedicate,6,动,396.0
3995,夫人,fūrén,wife; madam,6,名,397.0
3996,服,fú,to serve; to obey; clothing,6,动,398.0
3997,浮,fú,to float,6,动,399.0
3998,服从,fúcóng,to obey; to comply,6,动,400.0
3999,幅度,fúdù,range; scope; extent,6,名,401.0
4000,符号,fúhào,symbol; sign,6,名,402.0
4001,福利,fúlì,welfare; benefit; to provide welfare,6,名、动,403.0
4002,服用,fúyòng,to take (medicine),6,动,404.0
4003,辅导,fǔdǎo,to coach; to tutor,6,动,405.0
4004,辅助,fǔzhù,to assist; auxiliary,6,动、形,406.0
4005,副2,fù,deputy; vice-,6,形,407.0
4006,覆盖,fùgài,to cover,6,动,408.0
4007,附件,fùjiàn,attachment; accessory,6,名,409.0
4008,负面,fùmiàn,negative; adverse,6,形,410.0
4009,富裕,fùyù,wealthy; to enrich,6,形、动,411.0
4010,赋予,fùyǔ,to endow; to give,6,动,412.0
4011,该,gāi,that; such,6,代,413.0
4012,改编,gǎibiān,to adapt,6,动,414.0
4013,改造,gǎizào,to transform; to rebuild,6,动,415.0
4014,概率,gàilǜ,probability,6,名,416.0
4015,肝,gān,liver,6,名,417.0
4016,干脆,gāncuì,decisive; straightforward; simply; just,6,形、副,418.0
4017,尴尬,gāngà,embarrassed; awkward,6,形,419.0
4018,干旱,gānhàn,dry; arid,6,形,420.0
4019,干扰,gānrǎo,to disturb; to interfere,6,动,421.0
4020,干燥,gānzào,dry,6,形,422.0
4021,感激,gǎnjī,to appreciate; to be grateful,6,动,423.0
4022,赶忙,gǎnmáng,hurriedly; quickly,6,副,424.0
4023,感染,gǎnrǎn,to infect; to influence,6,动,425.0
4024,感想,gǎnxiǎng,impression; feeling,6,名,426.0
4025,钢笔,gāngbǐ,pen,6,名,427.0
4026,港口,gǎngkǒu,port,6,名,428.0
4027,岗位,gǎngwèi,post; job,6,名,429.0
4028,高层,gāocéng,high-level; upper class; high-ranking,6,名、形,430.0
4029,高超,gāochāo,superb; excellent,6,形,431.0
4030,高等,gāoděng,higher; advanced,6,形,432.0
4031,高端,gāoduān,high-end; high-level; high-end product,6,形、名,433.0
4032,高峰,gāofēng,peak; summit,6,名,434.0
4033,高尚,gāoshàng,noble; lofty,6,形,435.0
4034,高手,gāoshǒu,expert; master,6,名,436.0
4035,高新技术,gāoxīn-jìshù,,6,high and new technology,437.0
4036,高原,gāoyuán,plateau,6,名,438.0
4037,稿件,gǎojiàn,manuscript,6,名,439.0
4038,稿子,gǎozi,draft; manuscript,6,名,440.0
4039,割,gē,to cut,6,动,441.0
4040,歌唱,gēchàng,to sing,6,动,442.0
4041,隔壁,gébì,next door,6,名,443.0
4042,革命,gémìng,revolution; revolutionary,6,动、形,444.0
4043,个体,gètǐ,individual,6,名,445.0
4044,给予,jǐyǔ,to give,6,动,446.0
4045,跟前,gēnqián,in front of; near,6,名,447.0
4046,跟随,gēnsuí,to follow,6,动,448.0
4047,跟踪,gēnzōng,to track; to tail,6,动,449.0
4048,公,gōng,public; fair,6,形,450.0
4049,宫,gōng,palace; temple,6,名,451.0
4050,公安,gōng’ān,public security,6,名,452.0
4051,工地,gōngdì,construction site,6,名,453.0
4052,工夫,gōngfu,effort; time; skill,6,名,454.0
4053,公告,gōnggào,announcement; notice; to announce,6,动、名,455.0
4054,供给,gōngjǐ,to supply; to provide,6,动,456.0
4055,攻击,gōngjī,to attack,6,动,457.0
4056,公开,gōngkāi,open; public; to make public,6,形、动,458.0
4057,公民,gōngmín,citizen,6,名,459.0
4058,公认,gōngrèn,to be generally recognized,6,动,460.0
4059,功效,gōngxiào,efficacy; effect,6,名,461.0
4060,工序,gōngxù,process; procedure,6,名,462.0
4061,公益,gōngyì,public welfare,6,名,463.0
4062,供应,gōngyìng,to supply,6,动,464.0
4063,公元,gōngyuán,Gregorian calendar A.D.,6,名,465.0
4064,公正,gōngzhèng,fair; just,6,形,466.0
4065,公众,gōngzhòng,public; the general public,6,名,467.0
4066,公主,gōngzhǔ,princess,6,名,468.0
4067,巩固,gǒnggù,solid; to consolidate,6,形、动,469.0
4068,共计,gòngjì,to total; to amount to,6,动,470.0
4069,沟,gōu,ditch,6,名,471.0
4070,构造,gòuzào,to construct; to build,6,动,472.0
4071,孤独,gūdú,lonely,6,形,473.0
4072,姑姑,gūgu,aunt (father’s sister),6,名,474.0
4073,古典,gǔdiǎn,classical,6,形,475.0
4074,古迹,gǔjì,historic site; relic,6,名,476.0
4075,股票,gǔpiào,stock; share,6,名,477.0
4076,古人,gǔrén,ancient people,6,名,478.0
4077,股市,gǔshì,stock market,6,名,479.0
4078,骨头,gǔtou,bone,6,名,480.0
4079,鼓舞,gǔwǔ,to inspire; to encourage; inspiring,6,动、形,481.0
4080,顾,gù,to attend to; to look after,6,动,482.0
4081,固体,gùtǐ,solid,6,名,483.0
4082,顾问,gùwèn,consultant; advisor,6,名,484.0
4083,故障,gùzhàng,breakdown; malfunction,6,名,485.0
4084,拐,guǎi,to turn; to limp,6,动,486.0
4085,拐弯,guǎiwān,to turn a corner,6,动,487.0
4086,官,guān,official; government official,6,名,488.0
4087,关爱,guān’ài,to care for; to show concern,6,动,489.0
4088,官方,guānfāng,official; government,6,名,490.0
4089,观光,guānguāng,to sightsee,6,动,491.0
4090,关怀,guānhuái,to care for; to show concern,6,动,492.0
4091,关联,guānlián,to be related; to be connected,6,动,493.0
4092,观赏,guānshǎng,to view; to admire,6,动,494.0
4093,官员,guānyuán,official; government official,6,名,495.0
4094,管道,guǎndào,pipe; tubing,6,名,496.0
4095,罐,guàn,can; jar,6,名,497.0
4096,广阔,guǎngkuò,vast; wide,6,形,498.0
4097,归,guī,to return; by,6,动、介,499.0
4098,规范,guīfàn,norm; standard; rule; standard; normative; to standardize; to regulate,6,名、形、动,500.0
4099,规划,guīhuà,plan; to plan,6,名、动,501.0
4100,归还,guīhuán,to return,6,动,502.0
4101,规矩,guīju,rule; custom; well-behaved,6,名、形,503.0
4102,轨道,guǐdào,track; orbit,6,名,504.0
4103,跪,guì,to kneel,6,动,505.0
4104,贵重,guìzhòng,precious; valuable,6,形,506.0
4105,棍,gùn,stick; rod,6,名,507.0
4106,国宝,guóbǎo,national treasure,6,名,508.0
4107,国产,guóchǎn,domestically produced,6,形,509.0
4108,国歌,guógē,national anthem,6,名,510.0
4109,国旗,guóqí,national flag,6,名,511.0
4110,国情,guóqíng,national conditions,6,名,512.0
4111,国王,guówáng,king,6,名,513.0
4112,过渡,guòdù,to transition,6,动,514.0
4113,过后,guòhòu,afterwards,6,名,515.0
4114,过时,guòshí,to go out of fashion; outdated; obsolete,6,动、形,516.0
4115,海内外,hǎi nèiwài,,6,both at home and abroad,517.0
4116,海岸,hǎi’àn,coast; shore,6,名,518.0
4117,海拔,hǎibá,altitude,6,名,519.0
4118,海面,hǎimiàn,sea surface,6,名,520.0
4119,海域,hǎiyù,sea area,6,名,521.0
4120,害,hài,harm; to harm,6,名、动,522.0
4121,寒冬,hándōng,cold winter,6,名,523.0
4122,含义,hányì,meaning; implication,6,名,524.0
4123,罕见,hǎnjiàn,rare; seldom seen,6,形,525.0
4124,旱灾,hànzāi,drought,6,名,526.0
4125,航空,hángkōng,aviation,6,动,527.0
4126,毫不,háo bù,,6,not at all,528.0
4127,毫无,háo wú,,6,completely without,529.0
4128,毫米,háomǐ,millimeter,6,量,530.0
4129,毫升,háoshēng,milliliter,6,量,531.0
4130,好不,hǎobù,very; really,6,副,532.0
4131,好感,hǎogǎn,good feeling,6,名,533.0
4132,好容易,hǎoróngyì,with difficulty,6,形,534.0
4133,好客,hàokè,hospitable,6,形,535.0
4134,好学,hàoxué,to be eager to learn,6,动,536.0
4135,号召,hàozhào,to call upon; to appeal,6,动,537.0
4136,合并,hébìng,to merge; to combine,6,动,538.0
4137,合成,héchéng,to synthesize; to compose,6,动,539.0
4138,和平,hépíng,peace,6,名,540.0
4139,和谐,héxié,harmonious,6,形,541.0
4140,核心,héxīn,core,6,名,542.0
4141,嘿,hēi,hey,6,叹,543.0
4142,黑暗,hēi’àn,dark,6,形,544.0
4143,痕迹,hénjì,trace; mark,6,名,545.0
4144,狠,hěn,fierce; cruel; to harden one’s heart; fiercely,6,形、动、副,546.0
4145,恨,hèn,to hate,6,动,547.0
4146,横,héng,horizontal; across; to cross; horizontal line,6,形、动、名,548.0
4147,衡量,héngliáng,to measure; to weigh,6,动,549.0
4148,宏大,hóngdà,grand; magnificent,6,形,550.0
4149,洪水,hóngshuǐ,flood,6,名,551.0
4150,后代,hòudài,offspring; descendants,6,名,552.0
4151,后期,hòuqī,late stage; later period,6,名,553.0
4152,后人,hòurén,later generations; people of later times,6,名,554.0
4153,后退,hòutuì,to retreat; to move back,6,动,555.0
4154,后者,hòuzhě,the latter,6,名,556.0
4155,忽略,hūlüè,to neglect; to overlook,6,动,557.0
4156,壶,hú,pot; kettle,6,名,558.0
4157,胡子,húzi,beard; mustache,6,名,559.0
4158,户,hù,measure word for households,6,量,560.0
4159,互助,hùzhù,mutual aid,6,动,561.0
4160,花朵,huāduǒ,flower,6,名,562.0
4161,花生,huāshēng,peanut,6,名,563.0
4162,滑冰,huábīng,to skate,6,动,564.0
4163,滑行,huáxíng,to glide; to slide,6,动,565.0
4164,滑雪,huáxuě,to ski,6,动,566.0
4165,划,huà,to row; to paddle,6,动,567.0
4166,划分,huàfēn,to divide; to partition,6,动,568.0
4167,化石,huàshí,fossil,6,名,569.0
4168,话筒,huàtǒng,microphone,6,名,570.0
4169,化妆,huàzhuāng,to put on makeup,6,动,571.0
4170,怀,huái,chest; bosom; to hold in mind,6,名、动,572.0
4171,怀念,huáiniàn,to cherish the memory of,6,动,573.0
4172,怀孕,huáiyùn,to be pregnant,6,动,574.0
4173,欢乐,huānlè,happy; joyful,6,形,575.0
4174,环,huán,ring; loop; measure word for rings; to surround,6,名、量、动,576.0
4175,还原,huányuán,to restore; to return to original state,6,动,577.0
4176,患,huàn,to contract; to suffer from,6,动,578.0
4177,幻想,huànxiǎng,to fantasize; fantasy; illusion,6,动、名,579.0
4178,患者,huànzhě,patient,6,名,580.0
4179,黄,huáng,yellow,6,名,581.0
4180,皇帝,huángdì,emperor,6,名,582.0
4181,灰尘,huīchén,dust,6,名,583.0
4182,灰心,huīxīn,discouraged; downhearted,6,形,584.0
4183,回报,huíbào,to repay; to return,6,动,585.0
4184,回顾,huígù,to look back; to review,6,动,586.0
4185,回头,huítóu,to turn around; later; if,6,动、副、连,587.0
4186,汇,huì,to remit; to converge,6,动,588.0
4187,汇报,huìbào,to report; to give an account,6,动,589.0
4188,绘画,huìhuà,to draw; to paint,6,动,590.0
4189,会见,huìjiàn,to meet,6,动,591.0
4190,汇款,huìkuǎn,to remit money; remittance,6,动、名,592.0
4191,婚姻,hūnyīn,marriage,6,名,593.0
4192,混,hùn,to mix; to blend; carelessly,6,动、副,594.0
4193,混合,hùnhé,to mix; to blend,6,动,595.0
4194,混乱,hùnluàn,chaotic; disorderly,6,形,596.0
4195,活力,huólì,vitality; energy,6,名,597.0
4196,活跃,huóyuè,active; dynamic; to be active,6,形、动,598.0
4197,火柴,huǒchái,match,6,名,599.0
4198,火灾,huǒzāi,fire disaster; fire,6,名,600.0
4199,货币,huòbì,currency,6,名,601.0
4200,货车,huòchē,truck; freight car,6,名,602.0
4201,击败,jībài,to defeat,6,动,603.0
4202,基地,jīdì,base; foundation,6,名,604.0
4203,机动车,jīdòngchē,motor vehicle,6,名,605.0
4204,饥饿,jī’è,hungry,6,形,606.0
4205,激发,jīfā,to inspire; to stimulate,6,动,607.0
4206,基金,jījīn,fund,6,名,608.0
4207,激励,jīlì,to encourage; to motivate,6,动,609.0
4208,激情,jīqíng,passion; enthusiasm,6,名,610.0
4209,机械,jīxiè,machinery; machine; mechanical,6,名、形,611.0
4210,基因,jīyīn,gene,6,名,612.0
4211,机遇,jīyù,opportunity,6,名,613.0
4212,机制,jīzhì,mechanism,6,名,614.0
4213,即便,jíbiàn,even if; even though,6,连,615.0
4214,极端,jíduān,extreme; extremity; extremely; extreme; radical,6,名、副、形,616.0
4215,急救,jíjiù,first aid; emergency treatment,6,动,617.0
4216,急切,jíqiè,eager; impatient,6,形,618.0
4217,集团,jítuán,group; corporation,6,名,619.0
4218,极为,jíwéi,extremely,6,副,620.0
4219,吉祥,jíxiáng,auspicious; lucky,6,形,621.0
4220,继承,jìchéng,to inherit,6,动,622.0
4221,季军,jìjūn,third place; bronze medalist,6,名,623.0
4222,纪律,jìlǜ,discipline,6,名,624.0
4223,寂寞,jìmò,lonely,6,形,625.0
4224,技巧,jìqiǎo,skill; technique,6,名,626.0
4225,技艺,jìyì,skill; artistry,6,名,627.0
4226,夹,jiā,to press; to squeeze,6,动,628.0
4227,加倍,jiābèi,to double; double,6,动、副,629.0
4228,家常,jiācháng,daily life,6,名,630.0
4229,家家户户,jiājiāhùhù,every household,6,名,631.0
4230,加剧,jiājù,to intensify; to aggravate,6,动,632.0
4231,家居,jiājū,household; home,6,名,633.0
4232,家属,jiāshǔ,family member,6,名,634.0
4233,加以,jiāyǐ,to apply; to add; in addition,6,动、连,635.0
4234,家园,jiāyuán,homeland,6,名,636.0
4235,加重,jiāzhòng,to increase in weight; to aggravate,6,动,637.0
4236,假设,jiǎshè,to suppose; hypothesis,6,动、名,638.0
4237,嫁,jià,to marry,6,动,639.0
4238,尖,jiān,sharp; pointed; tip,6,形、名,640.0
4239,肩膀,jiānbǎng,shoulder,6,名,641.0
4240,监测,jiāncè,to monitor,6,动,642.0
4241,坚定,jiāndìng,firm; steadfast; to strengthen,6,形、动,643.0
4242,监督,jiāndū,to supervise,6,动,644.0
4243,坚固,jiāngù,strong; solid,6,形,645.0
4244,坚决,jiānjué,resolute; determined,6,形,646.0
4245,艰难,jiānnán,difficult; hard,6,形,647.0
4246,艰辛,jiānxīn,arduous; tough,6,形,648.0
4247,坚硬,jiānyìng,hard; solid,6,形,649.0
4248,兼职,jiānzhí,to hold multiple jobs; part-time job,6,动、名,650.0
4249,检测,jiǎncè,to test; to examine,6,动,651.0
4250,简化,jiǎnhuà,to simplify,6,动,652.0
4251,简介,jiǎnjiè,to introduce briefly; brief introduction,6,动、名,653.0
4252,减弱,jiǎnruò,to weaken; to diminish,6,动,654.0
4253,减压,jiǎnyā,to reduce pressure,6,动,655.0
4254,检验,jiǎnyàn,to inspect; to test,6,动,656.0
4255,剑,jiàn,sword,6,名,657.0
4256,箭,jiàn,arrow,6,名,658.0
4257,鉴定,jiàndìng,to appraise; to identify; appraisal,6,动、名,659.0
4258,间隔,jiàngé,interval; gap; to separate,6,名、动,660.0
4259,间接,jiànjiē,indirect,6,形,661.0
4260,健全,jiànquán,sound; healthy; to perfect,6,形、动,662.0
4261,建筑物,jiànzhùwù,building,6,名,663.0
4262,将军,jiāngjūn,general,6,名,664.0
4263,讲解,jiǎngjiě,to explain,6,动,665.0
4264,奖牌,jiǎngpái,medal,6,名,666.0
4265,奖品,jiǎngpǐn,prize,6,名,667.0
4266,酱,jiàng,sauce; paste; to sauce,6,名、动,668.0
4267,酱油,jiàngyóu,soy sauce,6,名,669.0
4268,胶带,jiāodài,tape; adhesive tape,6,名,670.0
4269,焦点,jiāodiǎn,focus,6,名,671.0
4270,交际,jiāojì,social interaction,6,动,672.0
4271,焦虑,jiāolǜ,anxious,6,形,673.0
4272,胶水,jiāoshuǐ,glue,6,名,674.0
4273,交谈,jiāotán,to chat; to converse,6,动,675.0
4274,郊外,jiāowài,suburb,6,名,676.0
4275,角落,jiǎoluò,corner,6,名,677.0
4276,脚印,jiǎoyìn,footprint,6,名,678.0
4277,较为,jiàowéi,relatively,6,副,679.0
4278,教训,jiàoxùn,to teach a lesson; lesson,6,动、名,680.0
4279,结,jiē,to bear fruit; to produce a result,6,动,681.0
4280,结果,jiēguǒ,to tie; to knot,6,动,682.0
4281,接连,jiēlián,in a row; one after another; repeatedly,6,动、副,683.0
4282,结实,jiēshi,sturdy; strong,6,形,684.0
4283,街头,jiētóu,street,6,名,685.0
4284,杰出,jiéchū,outstanding; prominent,6,形,686.0
4285,节能,jiénéng,to save energy,6,动,687.0
4286,结尾,jiéwěi,to end; end,6,动、名,688.0
4287,截至,jiézhì,as of; up to,6,动,689.0
4288,截止,jiézhǐ,to end; to cut off,6,动,690.0
4289,节奏,jiézòu,rhythm,6,名,691.0
4290,解,jiě,to untie; to solve,6,动,692.0
4291,解答,jiědá,to answer; to explain,6,动,693.0
4292,解读,jiědú,to interpret,6,动,694.0
4293,解放,jiěfàng,to liberate,6,动,695.0
4294,解说,jiěshuō,to explain,6,动,696.0
4295,借鉴,jièjiàn,to draw lessons from,6,动,697.0
4296,戒指,jièzhi,ring,6,名,698.0
4297,借助,jièzhù,to use as a means,6,动,699.0
4298,金额,jīn’é,amount of money,6,名,700.0
4299,金牌,jīnpái,gold medal,6,名,701.0
4300,金钱,jīnqián,money,6,名,702.0
4301,金融,jīnróng,finance,6,名,703.0
4302,金属,jīnshǔ,metal,6,名,704.0
4303,金子,jīnzi,gold,6,名,705.0
4304,尽,jìn,to exhaust; to use up; (to the utmost),6,动、（副）,706.0
4305,进而,jìn’ér,then; and then,6,连,707.0
4306,进度,jìndù,progress,6,名,708.0
4307,进化,jìnhuà,evolution,6,动,709.0
4308,近来,jìnlái,recently,6,名,710.0
4309,近视,jìnshì,nearsighted,6,形,711.0
4310,进展,jìnzhǎn,progress; advance,6,动,712.0
4311,精美,jīngměi,exquisite; delicate,6,形,713.0
4312,精确,jīngquè,accurate; precise,6,形,714.0
4313,惊人,jīngrén,astonishing; amazing,6,形,715.0
4314,经商,jīngshāng,to engage in business,6,动,716.0
4315,精通,jīngtōng,to master; be proficient in,6,动,717.0
4316,精心,jīngxīn,meticulously; carefully,6,形,718.0
4317,惊讶,jīngyà,surprised; amazed,6,形,719.0
4318,精致,jīngzhì,delicate; refined,6,形,720.0
4319,精准,jīngzhǔn,accurate; precise,6,形,721.0
4320,井,jǐng,well,6,名,722.0
4321,警告,jǐnggào,to warn,6,动,723.0
4322,景观,jǐngguān,landscape; view,6,名,724.0
4323,景象,jǐngxiàng,scene; sight,6,名,725.0
4324,颈椎,jǐngzhuī,cervical vertebra,6,名,726.0
4325,净,jìng,clean; net; merely; only,6,形、副,727.0
4326,竞赛,jìngsài,to compete,6,动,728.0
4327,镜头,jìngtóu,lens; camera shot,6,名,729.0
4328,纠纷,jiūfēn,dispute,6,名,730.0
4329,纠正,jiūzhèng,to correct; to rectify,6,动,731.0
4330,酒精,jiǔjīng,alcohol,6,名,732.0
4331,酒水,jiǔshuǐ,alcoholic beverages,6,名,733.0
4332,就读,jiùdú,to attend school,6,动,734.0
4333,舅舅,jiùjiu,uncle,6,名,735.0
4334,救命,jiùmìng,to save a life,6,动,736.0
4335,就算,jiùsuàn,even if,6,连,737.0
4336,救援,jiùyuán,rescue; relief,6,动,738.0
4337,救灾,jiùzāi,to provide disaster relief,6,动,739.0
4338,救助,jiùzhù,to help; to rescue,6,动,740.0
4339,局1,jú,measure word for games; sets,6,量,741.0
4340,局2,jú,bureau; office; situation,6,名,742.0
4341,菊花,júhuā,chrysanthemum,6,名,743.0
4342,局面,júmiàn,situation,6,名,744.0
4343,局限,júxiàn,to limit; to restrict,6,动,745.0
4344,举动,jǔdòng,action; move,6,名,746.0
4345,剧本,jùběn,script,6,名,747.0
4346,聚集,jùjí,to gather,6,动,748.0
4347,俱乐部,jùlèbù,club,6,名,749.0
4348,剧烈,jùliè,intense; fierce,6,形,750.0
4349,捐款,juānkuǎn,to donate money; donation,6,动、名,751.0
4350,捐赠,juānzèng,to donate,6,动,752.0
4351,卷,juǎn,to roll; to curl; roll; measure word for rolls,6,动、名、量,753.0
4352,卷,juàn,measure word for books; volume,6,量、名,754.0
4353,决策,juécè,to decide; decision-making,6,动、名,755.0
4354,绝望,juéwàng,to despair,6,动,756.0
4355,军队,jūnduì,army,6,名,757.0
4356,军人,jūnrén,soldier,6,名,758.0
4357,均匀,jūnyún,even; uniform,6,形,759.0
